customer_id,first_name,last_name,gender,birth_year,loyalty_tier,home_suburb,signup_date
C00001,Palesa,Nyathi,F,1982,Bronze,Constantia,2024-03-29
C00002,Bontle,Buthelezi,F,1996,Silver,Stellenbosch Central,2025-02-10
C00003,Mandisa,Pillay,F,1986,Silver,Khayelitsha,2023-06-18
C00004,Sarah,Nkosi,,1971,Silver,Alberton,2024-03-09
C00005,Nokwanda,Buthelezi,M,1986,Bronze,Khayelitsha,2024-08-16
C00006,Olwethu,Nyathi,F,1975,Bronze,Phoenix,2025-05-23
C00007,Fatima,Botha,F,1987,Bronze,Berea,2023-03-11
C00008,Lungile,Pillay,F,1991,Bronze,Pinetown,2023-03-25
C00009,Emma,Zwane,M,1975,Bronze,Centurion,2023-09-02
C00010,Kagiso,Sibanda,F,1996,Bronze,Constantia,2023-01-10
C00011,Michael,Ngcobo,,1961,Bronze,Boksburg,2023-05-16
C00012,Anika,Ndlovu,M,1978,Bronze,PMB Central,2024-12-21
C00013,Ayanda,Ngcobo,,1996,Bronze,Ballito,2023-11-03
C00014,Tumelo,Sithole,M,1963,Silver,Ballito,2023-06-09
C00015,Busisiwe,Maseko,M,2000,Bronze,Boksburg,2024-06-01
C00016,Rajesh,Patel,M,1958,Bronze,Brooklyn,2023-02-15
C00017,Thabo,Mabena,M,1995,Bronze,Berea,2024-07-18
C00018,Sibusiso,Smith,M,1962,Silver,Bellville,2024-07-12
C00019,Sipho,Mhlongo,M,1964,Bronze,Hatfield,2025-03-26
C00020,Nokulunga,Mokoena,M,1968,Bronze,Randburg,2025-03-09
C00021,Yusuf,Moyo,,2002,Gold,Tygervalley,2024-12-30
C00022,Emma,Dlamini,F,1976,Bronze,Beacon Bay,2025-06-03
C00023,Olwethu,Pillay,F,2005,Bronze,CBD,2025-05-29
C00024,Priya,Govender,F,1984,Silver,Edenvale,2023-08-17
C00025,Lerato,Pretorius,F,1972,Gold,Brooklyn,2024-06-05
C00026,James,Nyathi,F,1956,Gold,George Central,2023-09-29
C00027,Sipho,Sithole,M,1977,Bronze,Berea,2024-06-07
C00028,Bongani,Radebe,M,1967,Silver,Sea Point,2024-06-16
C00029,Bontle,Nyathi,M,2002,Bronze,Rosebank,2023-03-13
C00030,Tumelo,Mabena,M,1997,Silver,Krugersdorp,2024-06-03
C00031,Ayanda,Moyo,F,1999,Bronze,Wonderpark,2024-11-11
C00032,Sarah,van der Merwe,M,1974,Silver,Krugersdorp,2023-10-21
C00033,Sizwe,Smith,M,1993,Bronze,Berea,2024-11-22
C00034,Sizwe,Joseph,F,2005,Bronze,Alberton,2024-06-11
C00035,Tumelo,Ngcobo,F,2003,Bronze,Midrand,2023-05-31
C00036,Lerato,Mokoena,F,1985,Silver,Pinetown,2024-02-29
C00037,Thandiwe,Mkhize,F,1999,Bronze,Bellville,2024-11-02
C00038,Nokwanda,Nkosi,M,2004,Silver,Edenvale,2023-06-30
C00039,Bontle,Adams,F,1990,Silver,Pinetown,2023-05-17
C00040,Bontle,van Wyk,M,1990,Gold,Berea,2024-05-31
